model,mode,domain,experiment,callable,game_id,quality_score,binary_accuracy,efficiency_raw,guess_turn,budget_used_ratio,remaining_turn_budget,tolerance_used,n_test_cases,passed_test_cases,failed_test_cases
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,abs_diff,53,0.0,0,0.0,1,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,first_minus_second,59,0.0,0,0.0,1,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,reverse_str,65,0.0,0,0.0,1,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,first_char,71,0.0,0,0.0,1,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,add_exclamation,77,0.0,0,0.0,1,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,uppercase_str,83,0.0,0,0.0,1,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,remove_space,89,0.0,0,0.0,1,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,list_len,95,0.0,0,0.0,1,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,ret_first_item,101,0.0,0,0.0,1,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,sum_list,107,100.0,1,1.0,1,1.0,0,0,100,100,0
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,count_zeros,113,0.0,0,0.0,1,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,rmv_duplicates,119,0.0,0,0.0,1,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,logic_and,125,0.0,0,1.0,1,1.0,0,0,4,0,4
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,logic_or,131,0.0,0,1.0,1,1.0,0,0,4,0,4
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,logic_xor,137,100.0,1,1.0,1,1.0,0,0,4,4,0
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,not_value,143,100.0,1,1.0,1,1.0,0,0,2,2,0
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,implies,149,0.0,0,1.0,1,1.0,0,0,4,0,4
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,absolute_value,5,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,add_one,11,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,clamp_to_0_9,17,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,is_even,23,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,sign_label,29,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,min_value,35,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,max_value,41,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,sum_two,47,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,abs_diff,53,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,first_minus_second,59,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,reverse_str,65,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,first_char,71,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,add_exclamation,77,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,uppercase_str,83,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,remove_space,89,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,list_len,95,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,ret_first_item,101,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,sum_list,107,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,count_zeros,113,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,rmv_duplicates,119,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,logic_and,125,0.0,0,1.0,1,1.0,0,0,4,0,4
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,logic_or,131,0.0,0,1.0,1,1.0,0,0,4,0,4
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,logic_xor,137,0.0,0,1.0,1,1.0,0,0,4,0,4
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,not_value,143,100.0,1,1.0,1,1.0,0,0,2,2,0
gpt-4.1-2025-04-14,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,implies,149,0.0,0,1.0,1,1.0,0,0,4,0,4
gpt-4.1-mini,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,absolute_value,5,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-mini,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,add_one,11,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,clamp_to_0_9,17,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,is_even,23,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,sign_label,29,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,min_value,35,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,max_value,41,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,sum_two,47,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-mini,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,abs_diff,53,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,first_minus_second,59,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,reverse_str,65,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-mini,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,first_char,71,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-mini,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,add_exclamation,77,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,uppercase_str,83,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-mini,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,remove_space,89,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-mini,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,list_len,95,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,ret_first_item,101,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,sum_list,107,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-mini,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,count_zeros,113,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,rmv_duplicates,119,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,logic_and,125,0.0,0,1.0,1,1.0,0,0,4,0,4
gpt-4.1-mini,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,logic_or,131,0.0,0,1.0,1,1.0,0,0,4,0,4
gpt-4.1-mini,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,logic_xor,137,0.0,0,1.0,1,1.0,0,0,4,0,4
gpt-4.1-mini,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,not_value,143,100.0,1,1.0,1,1.0,0,0,2,2,0
gpt-4.1-mini,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,implies,149,0.0,0,1.0,1,1.0,0,0,4,0,4
gpt-4.1-nano,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,absolute_value,5,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,add_one,11,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,clamp_to_0_9,17,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,is_even,23,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,sign_label,29,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-nano,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,min_value,35,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,max_value,41,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,sum_two,47,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-nano,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,abs_diff,53,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,first_minus_second,59,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,reverse_str,65,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,first_char,71,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,add_exclamation,77,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,uppercase_str,83,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_labeled_pairs_oneshot,string,string_passive_labeled_pairs_oneshot,remove_space,89,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,list_len,95,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,ret_first_item,101,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,sum_list,107,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,count_zeros,113,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_labeled_pairs_oneshot,list,list_passive_labeled_pairs_oneshot,rmv_duplicates,119,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,logic_and,125,0.0,0,1.0,1,1.0,0,0,4,0,4
gpt-4.1-nano,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,logic_or,131,100.0,1,1.0,1,1.0,0,0,4,4,0
gpt-4.1-nano,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,logic_xor,137,0.0,0,1.0,1,1.0,0,0,4,0,4
gpt-4.1-nano,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,not_value,143,100.0,1,1.0,1,1.0,0,0,2,2,0
gpt-4.1-nano,passive_labeled_pairs_oneshot,logic,logic_passive_labeled_pairs_oneshot,implies,149,0.0,0,1.0,1,1.0,0,0,4,0,4
