model,mode,domain,experiment,callable,game_id,quality_score,binary_accuracy,efficiency_raw,guess_turn,budget_used_ratio,remaining_turn_budget,tolerance_used,n_test_cases,passed_test_cases,failed_test_cases
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_examples_oneshot,string,string_passive_examples_oneshot,first_char,70,100.0,1,1.0,1,1.0,0,0,100,100,0
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_examples_oneshot,string,string_passive_examples_oneshot,add_exclamation,76,100.0,1,1.0,1,1.0,0,0,100,100,0
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_examples_oneshot,string,string_passive_examples_oneshot,uppercase_str,82,100.0,1,1.0,1,1.0,0,0,100,100,0
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_examples_oneshot,string,string_passive_examples_oneshot,remove_space,88,100.0,1,1.0,1,1.0,0,0,100,100,0
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_examples_oneshot,list,list_passive_examples_oneshot,list_len,94,0.0,0,0.0,1,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_examples_oneshot,list,list_passive_examples_oneshot,ret_first_item,100,0.0,0,1.0,1,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_examples_oneshot,list,list_passive_examples_oneshot,sum_list,106,100.0,1,1.0,1,1.0,0,0,100,100,0
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_examples_oneshot,list,list_passive_examples_oneshot,count_zeros,112,0.0,0,0.0,1,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_examples_oneshot,list,list_passive_examples_oneshot,rmv_duplicates,118,0.0,0,0.0,1,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_examples_oneshot,logic,logic_passive_examples_oneshot,logic_and,124,100.0,1,1.0,1,1.0,0,0,4,4,0
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_examples_oneshot,logic,logic_passive_examples_oneshot,logic_or,130,100.0,1,1.0,1,1.0,0,0,4,4,0
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_examples_oneshot,logic,logic_passive_examples_oneshot,logic_xor,136,100.0,1,1.0,1,1.0,0,0,4,4,0
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_examples_oneshot,logic,logic_passive_examples_oneshot,not_value,142,100.0,1,1.0,1,1.0,0,0,2,2,0
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_examples_oneshot,logic,logic_passive_examples_oneshot,implies,148,0.0,0,1.0,1,1.0,0,0,4,0,4
gpt-4.1-2025-04-14,passive_examples_oneshot,numbers,numbers_passive_examples_oneshot,absolute_value,4,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,numbers,numbers_passive_examples_oneshot,add_one,10,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,numbers,numbers_passive_examples_oneshot,clamp_to_0_9,16,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,numbers,numbers_passive_examples_oneshot,is_even,22,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,numbers,numbers_passive_examples_oneshot,sign_label,28,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,two_numbers,two_numbers_passive_examples_oneshot,min_value,34,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,two_numbers,two_numbers_passive_examples_oneshot,max_value,40,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,two_numbers,two_numbers_passive_examples_oneshot,sum_two,46,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,two_numbers,two_numbers_passive_examples_oneshot,abs_diff,52,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,two_numbers,two_numbers_passive_examples_oneshot,first_minus_second,58,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,string,string_passive_examples_oneshot,reverse_str,64,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,string,string_passive_examples_oneshot,first_char,70,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,string,string_passive_examples_oneshot,add_exclamation,76,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,string,string_passive_examples_oneshot,uppercase_str,82,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,string,string_passive_examples_oneshot,remove_space,88,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,list,list_passive_examples_oneshot,list_len,94,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,list,list_passive_examples_oneshot,ret_first_item,100,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,list,list_passive_examples_oneshot,sum_list,106,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,list,list_passive_examples_oneshot,count_zeros,112,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,list,list_passive_examples_oneshot,rmv_duplicates,118,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-2025-04-14,passive_examples_oneshot,logic,logic_passive_examples_oneshot,logic_and,124,0.0,0,0.0,1,1.0,0,0,4,0,4
gpt-4.1-2025-04-14,passive_examples_oneshot,logic,logic_passive_examples_oneshot,logic_or,130,0.0,0,0.0,1,1.0,0,0,4,0,4
gpt-4.1-2025-04-14,passive_examples_oneshot,logic,logic_passive_examples_oneshot,logic_xor,136,0.0,0,0.0,1,1.0,0,0,4,0,4
gpt-4.1-2025-04-14,passive_examples_oneshot,logic,logic_passive_examples_oneshot,not_value,142,0.0,0,0.0,1,1.0,0,0,2,0,2
gpt-4.1-2025-04-14,passive_examples_oneshot,logic,logic_passive_examples_oneshot,implies,148,0.0,0,0.0,1,1.0,0,0,4,0,4
gpt-4.1-mini,passive_examples_oneshot,numbers,numbers_passive_examples_oneshot,absolute_value,4,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,numbers,numbers_passive_examples_oneshot,add_one,10,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,numbers,numbers_passive_examples_oneshot,clamp_to_0_9,16,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,numbers,numbers_passive_examples_oneshot,is_even,22,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,numbers,numbers_passive_examples_oneshot,sign_label,28,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,two_numbers,two_numbers_passive_examples_oneshot,min_value,34,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,two_numbers,two_numbers_passive_examples_oneshot,max_value,40,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,two_numbers,two_numbers_passive_examples_oneshot,sum_two,46,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,two_numbers,two_numbers_passive_examples_oneshot,abs_diff,52,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,two_numbers,two_numbers_passive_examples_oneshot,first_minus_second,58,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,string,string_passive_examples_oneshot,reverse_str,64,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,string,string_passive_examples_oneshot,first_char,70,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,string,string_passive_examples_oneshot,add_exclamation,76,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,string,string_passive_examples_oneshot,uppercase_str,82,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,string,string_passive_examples_oneshot,remove_space,88,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,list,list_passive_examples_oneshot,list_len,94,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,list,list_passive_examples_oneshot,ret_first_item,100,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,list,list_passive_examples_oneshot,sum_list,106,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,list,list_passive_examples_oneshot,count_zeros,112,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,list,list_passive_examples_oneshot,rmv_duplicates,118,0.0,0,0.0,1,1.0,0,0,100,0,100
gpt-4.1-mini,passive_examples_oneshot,logic,logic_passive_examples_oneshot,logic_and,124,0.0,0,0.0,1,1.0,0,0,4,0,4
gpt-4.1-mini,passive_examples_oneshot,logic,logic_passive_examples_oneshot,logic_or,130,0.0,0,0.0,1,1.0,0,0,4,0,4
gpt-4.1-mini,passive_examples_oneshot,logic,logic_passive_examples_oneshot,logic_xor,136,0.0,0,0.0,1,1.0,0,0,4,0,4
gpt-4.1-mini,passive_examples_oneshot,logic,logic_passive_examples_oneshot,not_value,142,0.0,0,0.0,1,1.0,0,0,2,0,2
gpt-4.1-mini,passive_examples_oneshot,logic,logic_passive_examples_oneshot,implies,148,0.0,0,0.0,1,1.0,0,0,4,0,4
gpt-4.1-nano,passive_examples_oneshot,numbers,numbers_passive_examples_oneshot,absolute_value,4,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-nano,passive_examples_oneshot,numbers,numbers_passive_examples_oneshot,add_one,10,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-nano,passive_examples_oneshot,numbers,numbers_passive_examples_oneshot,clamp_to_0_9,16,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_examples_oneshot,numbers,numbers_passive_examples_oneshot,is_even,22,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_examples_oneshot,numbers,numbers_passive_examples_oneshot,sign_label,28,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-nano,passive_examples_oneshot,two_numbers,two_numbers_passive_examples_oneshot,min_value,34,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_examples_oneshot,two_numbers,two_numbers_passive_examples_oneshot,max_value,40,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_examples_oneshot,two_numbers,two_numbers_passive_examples_oneshot,sum_two,46,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-nano,passive_examples_oneshot,two_numbers,two_numbers_passive_examples_oneshot,abs_diff,52,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_examples_oneshot,two_numbers,two_numbers_passive_examples_oneshot,first_minus_second,58,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-nano,passive_examples_oneshot,string,string_passive_examples_oneshot,reverse_str,64,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-nano,passive_examples_oneshot,string,string_passive_examples_oneshot,first_char,70,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-nano,passive_examples_oneshot,string,string_passive_examples_oneshot,add_exclamation,76,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-nano,passive_examples_oneshot,string,string_passive_examples_oneshot,uppercase_str,82,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-nano,passive_examples_oneshot,string,string_passive_examples_oneshot,remove_space,88,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-nano,passive_examples_oneshot,list,list_passive_examples_oneshot,list_len,94,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-nano,passive_examples_oneshot,list,list_passive_examples_oneshot,ret_first_item,100,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_examples_oneshot,list,list_passive_examples_oneshot,sum_list,106,100.0,1,1.0,1,1.0,0,0,100,100,0
gpt-4.1-nano,passive_examples_oneshot,list,list_passive_examples_oneshot,count_zeros,112,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_examples_oneshot,list,list_passive_examples_oneshot,rmv_duplicates,118,0.0,0,1.0,1,1.0,0,0,100,0,100
gpt-4.1-nano,passive_examples_oneshot,logic,logic_passive_examples_oneshot,logic_and,124,100.0,1,1.0,1,1.0,0,0,4,4,0
gpt-4.1-nano,passive_examples_oneshot,logic,logic_passive_examples_oneshot,logic_or,130,100.0,1,1.0,1,1.0,0,0,4,4,0
gpt-4.1-nano,passive_examples_oneshot,logic,logic_passive_examples_oneshot,logic_xor,136,100.0,1,1.0,1,1.0,0,0,4,4,0
gpt-4.1-nano,passive_examples_oneshot,logic,logic_passive_examples_oneshot,not_value,142,100.0,1,1.0,1,1.0,0,0,2,2,0
gpt-4.1-nano,passive_examples_oneshot,logic,logic_passive_examples_oneshot,implies,148,100.0,1,1.0,1,1.0,0,0,4,4,0
